country,population,area
Germany,80682351,348520
United Kingdom,65111143,241959
France,64668129,547571
Italy,59801004,294152
Spain,46064604,498535
Poland,38593161,306295
Romania,19372734,230080
Netherlands,16979729,33717
Belgium,11371928,30277
Greece,10919459,128919
Czech Republic,10548058,77219
Portugal,10304434,91595
Sweden,9851852,410494
Hungary,9821318,90519
Austria,8569633,82400
Bulgaria,7097796,108529
Denmark,5690750,42437
Finland,5523904,303511
Slovakia,5429418,48091
Ireland,4713993,68918
Croatia,4225001,55960
Lithuania,2850030,62638
Slovenia,2069362,20150
Latvia,1955742,62285
Estonia,1309104,42366
Cyprus,1176598,9243
Luxembourg,576243,2590
Malta,419615,320
