wine_category,year,Total,Red wine,White wine
V.Q.P.R.D.,1984,289000,145000,144000
Οίνοι με Γεωγραφική Ένδειξη,1984,659000,2000,657000
Οίνοι χωρίς Γεωγραφική Ένδειξη,1984,4067500,1476500,2591000
Γλεύκη,1984,9500,4000,5500
V.Q.P.R.D.,1985,338498,168410,170088
Οίνοι με Γεωγραφική Ένδειξη,1985,499235,1363,497872
Οίνοι χωρίς Γεωγραφική Ένδειξη,1985,3691753,793279,1398474
Γλεύκη,1985,8746,0,8746
V.Q.P.R.D.,1986,301385,136887,164498
Οίνοι με Γεωγραφική Ένδειξη,1986,438000,1200,436800
Οίνοι χωρίς Γεωγραφική Ένδειξη,1986,354964,1283712,2311252
Γλεύκη,1986,7434,0,7434
V.Q.P.R.D.,1987,268760,109055,159705
Οίνοι με Γεωγραφική Ένδειξη,1987,467000,2000,465000
Οίνοι χωρίς Γεωγραφική Ένδειξη,1987,3731554,1346950,2384604
Γλεύκη,1987,8002,0,8002
V.Q.P.R.D.,1988,361298,158353,202945
Οίνοι με Γεωγραφική Ένδειξη,1988,539241,3000,536241
Οίνοι χωρίς Γεωγραφική Ένδειξη,1988,3427746,1337748,2089998
Γλεύκη,1988,17074,0,17074
V.Q.P.R.D.,1989,328053,131058,196995
Οίνοι με Γεωγραφική Ένδειξη,1989,506370,3000,503370
Οίνοι χωρίς Γεωγραφική Ένδειξη,1989,3656768,1390328,2266530
Γλεύκη,1989,40818,0,40818
V.Q.P.R.D.,1990,259497,94252,165245
Οίνοι με Γεωγραφική Ένδειξη,1990,342968,2032,340936
Οίνοι χωρίς Γεωγραφική Ένδειξη,1990,2883445,941356,1942089
Γλεύκη,1990,40090,29360,10730
V.Q.P.R.D.,1991,199050,75256,123794
Οίνοι με Γεωγραφική Ένδειξη,1991,245892,28247,217645
Οίνοι χωρίς Γεωγραφική Ένδειξη,1991,3535097,782633,2752464
Ονομασία κατά παράδοση,1991,3980039,886136,3093903
Γλεύκη,1991,35955,10,35945
V.Q.P.R.D.,1992,236462,79788,156674
Οίνοι με Γεωγραφική Ένδειξη,1992,231544,26599,204945
Οίνοι χωρίς Γεωγραφική Ένδειξη,1992,3576708,852091,2724617
Γλεύκη,1992,5286,0,5286
V.Q.P.R.D.,1993,202900,80300,122600
Οίνοι με Γεωγραφική Ένδειξη,1993,182700,33700,149000
Οίνοι χωρίς Γεωγραφική Ένδειξη,1993,2992350,660650,2331700
Γλεύκη,1993,14500,110,14390
V.Q.P.R.D.,1994,222976,92259,130717
Οίνοι με Γεωγραφική Ένδειξη,1994,550633,37545,513088
Οίνοι χωρίς Γεωγραφική Ένδειξη,1994,2269315,503681,1765634
Γλεύκη,1994,8361,1969,6392
V.Q.P.R.D.,1995,266219,121419,144800
Οίνοι με Γεωγραφική Ένδειξη,1995,837282,246537,590745
Οίνοι χωρίς Γεωγραφική Ένδειξη,1995,2738178,394277,2343901
Γλεύκη,1995,8321,480,7841
V.Q.P.R.D.,1996,313400,145123,168277
Οίνοι με Γεωγραφική Ένδειξη,1996,855507,80539,774968
Οίνοι χωρίς Γεωγραφική Ένδειξη,1996,2936218,655315,2280903
Γλεύκη,1996,4075,0,4075
V.Q.P.R.D.,1997,342393,151929,190464
Οίνοι με Γεωγραφική Ένδειξη,1997,508559,65065,443494
Οίνοι χωρίς Γεωγραφική Ένδειξη,1997,3132029,598853,2533176
Γλεύκη,1997,4019,25,3994
V.Q.P.R.D.,1998,357600,156540,201060
Οίνοι με Γεωγραφική Ένδειξη,1998,710290,73510,636780
Οίνοι χωρίς Γεωγραφική Ένδειξη,1998,2755110,896150,1858960
Γλεύκη,1998,2800,320,2480
V.Q.P.R.D.,1999,337330,165214,172116
Οίνοι με Γεωγραφική Ένδειξη,1999,689454,87873,601581
Οίνοι χωρίς Γεωγραφική Ένδειξη,1999,2653216,802913,1850303
Γλεύκη,1999,4230,250,3980
V.Q.P.R.D.,2000,326960,169210,157750
Οίνοι με Γεωγραφική Ένδειξη,2000,634250,123710,510540
Οίνοι χωρίς Γεωγραφική Ένδειξη,2000,2589400,836090,1753310
Γλεύκη,2000,7390,0,7390
V.Q.P.R.D.,2001,338010,186120,151890
Τοπικοί Οίνοι,2001,304230,140110,164120
Οίνοι χωρίς Γεωγραφική Ένδειξη,2001,2404350,782890,1621460
Ονομασία κατά παράδοση,2001,428410,5900,422510
Γλεύκη,2001,2000,0,2000
V.Q.P.R.D.,2002,248990,82340,166650
Τοπικοί Οίνοι,2002,269020,119720,149300
Οίνοι χωρίς Γεωγραφική Ένδειξη,2002,2080110,684580,1395530
Ονομασία κατά παράδοση,2002,486930,14660,472270
Γλεύκη,2002,12950,0,12950
V.Q.P.R.D.,2003,384420,192880,191540
Τοπικοί Οίνοι,2003,373920,169700,204220
Οίνοι χωρίς Γεωγραφική Ένδειξη,2003,2499090,815160,1683390
Ονομασία κατά παράδοση,2003,541050,1030,540020
Γλεύκη,2003,5520,0,5520
V.Q.P.R.D.,2004,400780,246640,154140
Τοπικοί Οίνοι,2004,417280,173930,243350
Οίνοι χωρίς Γεωγραφική Ένδειξη,2004,3136270,959800,2176470
Ονομασία κατά παράδοση,2004,320390,4630,315760
Γλεύκη,2004,20280,0,20280
V.Q.P.R.D.,2005,333626,158703,174923
Τοπικοί Οίνοι,2005,382700,178069,204631
Οίνοι χωρίς Γεωγραφική Ένδειξη,2005,2995952,901074,2094878
Ονομασία κατά παράδοση με ΠΓΕ,2005,30889,0,30889
Ονομασία κατά παράδοση χωρίς ΠΓΕ,2005,276962,1034,275928
Γλεύκη,2005,6421,0,6421
V.Q.P.R.D.,2006,377656,162012,215644
Τοπικοί Οίνοι,2006,387732,169651,218081
Οίνοι χωρίς Γεωγραφική Ένδειξη,2006,2796296,906052,1890244
Ονομασία κατά παράδοση με ΠΓΕ,2006,20001,0,20001
Ονομασία κατά παράδοση χωρίς ΠΓΕ,2006,327962,331,327631
Γλεύκη,2006,28377,0,28377
V.Q.P.R.D.,2007,310000,140000,170000
Τοπικοί Οίνοι,2007,430250,219250,211000
Οίνοι χωρίς Γεωγραφική Ένδειξη,2007,2539500,808500,1731000
Ονομασία κατά παράδοση με ΠΓΕ,2007,16300,300,16000
Ονομασία κατά παράδοση χωρίς ΠΓΕ,2007,190500,4200,186300
Γλεύκη,2007,24500,0,0
V.Q.P.R.D.,2008,344519,174915,169604
Τοπικοί Οίνοι,2008,592718,265261,327457
Οίνοι χωρίς Γεωγραφική Ένδειξη,2008,2504579,819984,1684685
Ονομασία κατά παράδοση με ΠΓΕ,2008,22555,265,413729
Ονομασία κατά παράδοση χωρίς ΠΓΕ,2008,391454,15,22290
Γλεύκη,2008,13128,0,391439
ΠΟΠ,2009,340250,126550,213700
ΠΓΕ,2009,485000,222450,262550
Χωρίς ΠΟΠ/ΠΓΕ,2009,1978200,565750,1412450
Ονομασία κατά παράδοση με ΠΓΕ,2009,25000,0,25000
Ονομασία κατά παράδοση χωρίς ΠΓΕ,2009,251250,200,251050
Γλεύκη,2009,285800,40800,245000
ΠΟΠ,2010,320000,137000,183000
ΠΓΕ,2010,480000,225000,255000
Χωρίς ΠΟΠ/ΠΓΕ,2010,1785000,559750,1225250
Ονομασία κατά παράδοση με ΠΓΕ,2010,15000,0,15000
Ονομασία κατά παράδοση χωρίς ΠΓΕ,2010,200000,0,200000
Γλεύκη,2010,150000,14900,135100
ΠΟΠ,2011,280000,110000,170000
ΠΓΕ,2011,470000,230000,240000
Χωρίς ΠΟΠ/ΠΓΕ,2011,1716000,571750,1144200
Ονομασία κατά παράδοση με ΠΓΕ,2011,14000,0,14000
Ονομασία κατά παράδοση χωρίς ΠΓΕ,2011,180050,50,180000
Γλεύκη,2011,90000,8000,82000
