 approval_code,business_name,location,prefecture,activity,region,country
38.K.01,ΠΡΙΣΝΑΛΗΣ ΑΒΕΕ,Ακρολίμνη,Πέλλας,SPP,Κεντρικής Μακεδονίας,Ελλάδα
38.K.02,ΕΣΚΑΡΚΟΜ Α.Ε.,Σκύδρα,Πέλλας,SPP,Κεντρικής Μακεδονίας,Ελλάδα
38.K.03,ECO FOOD,Βιομηχανική Περιοχή,Πέλλας,SPP,Κεντρικής Μακεδονίας,Ελλάδα
38.K.04,ΕΥΡΩΡΟΥΣ Α.Ε.,Σκύδρα,Πέλλας,SPP,Κεντρικής Μακεδονίας,Ελλάδα
38.K.05,ΧΡ.ΠΙΛΤΣΗΣ & ΣΙΑ ΕΕ,Δροσερό,Πέλλας,SPP,Κεντρικής Μακεδονίας,Ελλάδα
01.K.06,ΜΑΜΑΤΣΟΠΟΥΛΟΣ ΤΡΙΑΝΤΑΦΥΛΛΟΣ ΚΑΙ ΣΙΑ ΟΕ,"Πατριάρχου Κυρίλλου 29, Αλεξανδρούπολη",Έβρου,SPP,Ανατολικής Μακεδονίας και Θράκης,Ελλάδα
42.K.07,ΧΟΧΛΙΟΙ ΚΡΗΤΗΣ ΕΠΕ,Πρίνος,Ρεθύμνης,SPP,Κρήτης,Ελλάδα
30.Κ.08,ΜΙΧΑΗΛ ΑΡΙΔΑΣ & ΣΙΑ EΕ,Σπάρτη,Λακωνίας,SPP,Πελοποννήσου,Ελλάδα
17.K.09,Ν. ΚΑΖΑΝΑΣ & ΣΙΑ ΕΕ.,Άγιος Σύλλας,Ηρακλείου,SPP,Κρήτης,Ελλάδα
28.K.10,ΜΑΡΙΑ ΒΛΑΧΟΥ Μ. ΕΠΕ,Γλυφάδα,Κορινθίας,SPP,Πελοποννήσου,Ελλάδα
34.K.11,ESCARGOTS AL' ARTA,Ζηρός,Πρεβέζης,SPP,Ηπείρου,Ελλάδα
33.Κ.12,ΑΦΟΙ ΑΦΙΩΝΗ &ΣΙΑ Ε.Ε.,Μούδρος,Λήμνου,SPP,Βορείου Αιγαίου,Ελλάδα
